,repeat0_p0,target
0,17.077991483499698,7.0
1,16.76136432164635,11.0
2,14.076743960603658,21.0
3,19.914551001768658,20.0
4,18.24861301772146,20.0
5,21.709143939387012,18.0
6,17.907159107303457,18.0
7,15.426575709540039,21.0
8,16.83095542142793,15.0
9,17.0939342345513,16.0
10,16.90819439179697,10.0
11,15.301107810251557,24.0
12,19.40029527569106,22.0
13,13.40483005930265,23.0
14,20.40542342976202,24.0
15,17.663377114457383,22.0
16,13.22854720304865,18.0
17,15.599042688211506,22.0
18,13.478628728879016,18.0
19,15.736180763126663,17.0
20,13.914118140573287,19.0
21,17.389120076895807,17.0
22,17.743566291307136,11.0
23,19.42882874310409,17.0
24,15.173446084339675,20.0
25,18.34440892539395,16.0
26,19.89908188950392,22.0
27,20.25806452293726,15.0
28,11.110402753316343,18.0
29,19.668108806761417,23.0
30,13.830074077047414,16.0
31,16.78977089992078,23.0
32,18.02509775529949,10.0
33,19.821658271136176,17.0
34,20.52223092956681,19.0
35,18.500636344113147,14.0
36,17.536156869790766,22.0
37,16.994272290156903,12.0
38,18.35195589954171,20.0
39,11.397769172793021,20.0
40,14.582883271192605,11.0
41,14.597554579694702,18.0
42,16.810033099349585,16.0
43,19.722688424104426,19.0
44,13.979878979475686,7.0
45,17.0137572544878,8.0
46,17.569896055078893,23.0
47,18.0813164514942,13.0
48,17.99440179872201,23.0
49,17.041764498832336,21.0
50,17.93406320834746,19.0
51,17.09307059577234,14.0
52,16.159876110135325,20.0
53,16.03646508896783,14.0
54,15.831275442974109,20.0
55,16.02036963849025,11.0
56,16.272896213995956,22.0
57,18.0247131821669,19.0
58,17.955387129252323,12.0
59,19.69118864880459,16.0
60,16.81785705316662,9.0
61,21.95662459610225,21.0
62,15.192511051906049,20.0
63,19.446647110476874,20.0
64,15.942706943064502,24.0
65,14.788670002113456,15.0
66,13.995578071008193,6.0
67,11.231512186170153,10.0
68,16.80271698894851,10.0
69,17.87684335870454,16.0
70,16.163706035497622,13.0
71,17.09423379452015,19.0
72,15.585080938288298,21.0
73,14.834376725015572,23.0
74,18.4107834489461,17.0
75,18.430307753014578,22.0
76,17.47500428268769,7.0
77,19.43983523209386,21.0
78,15.61115531379316,6.0
79,18.15735014269054,16.0
80,14.128764822045765,17.0
81,18.6814857562476,22.0
82,21.108053041883636,16.0
83,19.72104625633552,21.0
84,13.671175416203166,11.0
85,20.21026611891992,22.0
86,15.83345167922122,14.0
87,16.64906195711863,11.0
88,14.083089168838493,6.0
89,22.87185915183425,22.0
90,18.901593803300234,22.0
91,16.20275711208047,19.0
92,19.188773534339298,13.0
93,19.303234431990944,13.0
94,17.47040330708468,21.0
95,15.175541089953507,12.0
96,21.38215020870689,24.0
97,18.657698290299933,22.0
98,14.251387369538715,19.0
99,17.480969447342602,12.0
100,14.208750824078308,17.0
101,10.831748905286506,15.0
102,16.684387572768514,7.0
103,19.71216431549393,22.0
104,16.988886162133674,21.0
105,16.20587816277103,23.0
106,15.732487809224674,19.0
107,16.761556125102295,17.0
108,13.275858329569058,21.0
109,18.144362128533295,21.0
110,17.501295887049544,15.0
111,15.196368993245288,21.0
112,21.703386874562888,12.0
113,17.405896940490337,15.0
114,15.132947101545298,22.0
115,19.73625889638732,19.0
116,15.403923687158926,18.0
117,14.349923254007718,21.0
118,17.54297354191481,22.0
119,17.971184984823765,23.0
120,21.391932306547886,19.0
121,18.91872542907962,22.0
122,14.077853156418847,9.0
123,16.67077787975493,18.0
124,13.489956297534594,8.0
125,12.078942704984001,11.0
126,18.599749080408124,12.0
127,20.756394031385902,9.0
128,18.011158717001063,22.0
129,17.243028487603745,20.0
130,20.328350357487075,10.0
131,16.9879624977386,8.0
132,20.590069303061274,21.0
133,17.052402844109096,20.0
134,17.47023409608873,21.0
135,16.57637162085315,22.0
136,17.621352199462628,13.0
137,16.559597955368748,23.0
138,12.86505675293818,12.0
139,18.85572858621328,10.0
140,13.70083365006595,22.0
141,16.3496054765184,23.0
142,16.75042153152157,6.0
143,19.969018256323153,22.0
144,22.367624678883537,19.0
145,17.823126558238435,24.0
146,15.443835324730369,20.0
147,15.053554070758382,12.0
148,16.64821356197676,21.0
149,17.026246821318736,6.0
150,16.50962836605935,20.0
151,15.638929881204925,20.0
152,13.898003858375587,19.0
153,18.02843235901866,22.0
154,15.50142876432461,14.0
155,19.135527631523736,15.0
156,16.26781202682187,23.0
157,16.490783031295045,16.0
158,21.02659767613541,22.0
159,15.745679436114175,17.0
160,11.821150249387482,16.0
161,19.709146602223072,24.0
162,12.768669569550408,16.0
163,16.649028343831205,9.0
164,17.789405344092664,18.0
165,20.805760144083234,14.0
166,17.857469402977596,18.0
167,18.94958831904566,16.0
168,14.19447296388567,15.0
169,13.440249327082022,17.0
170,13.646273633611235,20.0
171,17.461648346972765,22.0
172,13.669393999207523,21.0
173,17.08634595879157,17.0
174,14.789323969264872,13.0
175,12.126941507066094,23.0
176,16.097271683996198,22.0
177,17.765057652361726,17.0
178,18.934586395861466,24.0
179,15.258019429263312,14.0
180,16.41394062743609,15.0
181,14.58163590072099,13.0
182,15.766255324026922,24.0
183,15.143007274705488,14.0
184,13.170372376953406,12.0
185,19.472572036849556,22.0
186,17.48799969472652,16.0
187,11.984382390081606,9.0
188,17.49698704379341,22.0
189,15.844100043701788,20.0
190,15.809032058816817,6.0
191,14.724312636630934,18.0
192,18.48346529820779,21.0
193,15.08168718414356,10.0
194,15.49714874043975,20.0
195,16.590727414182595,21.0
196,18.193266626046146,13.0
197,14.123478118584233,19.0
198,18.21912552239251,21.0
199,11.54695703631112,19.0
200,18.07151511493354,20.0
201,20.614450882554593,20.0
202,11.08309494630813,8.0
203,20.54951192735495,23.0
204,22.817540494493276,7.0
205,16.590849984378632,7.0
206,16.104543423511192,21.0
207,14.428192932923897,12.0
208,16.994772257783254,22.0
209,16.044094534804966,20.0
210,17.616967617187044,22.0
211,13.955240374984504,12.0
212,15.646109090734802,9.0
213,18.917258724444743,17.0
214,19.424685795332486,18.0
215,13.623661874410587,14.0
216,19.24499514137989,18.0
217,20.791464186993196,16.0
218,14.041107477591252,14.0
219,17.955973823734965,23.0
220,17.888201607558152,15.0
221,16.96027949005996,8.0
222,15.680551138955034,15.0
223,23.10888841042684,16.0
224,19.40420180981659,19.0
225,15.893373913412464,16.0
226,14.757170525794505,18.0
227,19.310840029555628,19.0
228,17.420479610204865,10.0
229,19.08236445074413,21.0
230,12.645378979201912,12.0
231,20.068304625008004,20.0
232,20.225562115441157,17.0
233,20.10242806038933,11.0
234,19.44641409139915,11.0
235,20.20296390305704,21.0
236,17.329947639980574,21.0
237,18.636140389466647,13.0
238,15.735538747392262,13.0
239,20.679187726605427,18.0
240,16.251718909180838,13.0
241,16.96353827856238,15.0
242,16.09447001417088,11.0
243,19.022539900893314,7.0
244,17.00766730067169,16.0
245,19.039192873009235,19.0
246,15.191927175821599,9.0
247,14.147730971945956,23.0
248,17.460562552282163,15.0
249,19.691107406731977,15.0
250,19.014610695435124,21.0
251,15.116401970476343,20.0
252,18.855193403608784,19.0
253,14.614992184992486,9.0
254,17.652823694561818,21.0
255,16.708078905199443,20.0
256,19.697287492441653,17.0
257,17.61566594832943,22.0
258,19.94079535966171,15.0
259,16.85754619856835,21.0
260,17.59878792523022,11.0
261,15.33921704331137,20.0
262,13.303323821076512,15.0
263,19.515041491873042,12.0
264,19.86698417550757,23.0
265,21.545339820393327,14.0
266,19.295855114361185,19.0
267,15.129210226941035,15.0
268,16.378630072390074,16.0
269,17.939428653873776,14.0
270,16.79295587355746,7.0
271,16.762249431290684,18.0
272,18.33894969772803,23.0
273,12.582825938963111,12.0
274,12.765194593574165,10.0
275,18.352791284315884,11.0
276,15.460047882029743,18.0
277,14.55184399660233,20.0
278,16.87006184193426,17.0
279,15.482054996627006,15.0
280,13.918761564044242,21.0
281,19.48016166835155,23.0
282,20.716379515210267,20.0
283,18.56110636369741,12.0
284,19.300821716906643,19.0
285,17.638149621366153,22.0
286,15.437467669045953,19.0
287,12.858166794159814,24.0
288,15.733352351514068,22.0
289,22.51066123791576,20.0
290,17.191608557911316,8.0
291,19.825328717068132,21.0
292,16.97961475685206,22.0
293,16.756373185119173,19.0
294,15.384975238143355,13.0
295,18.030407404386793,20.0
296,15.854712987881149,16.0
297,17.8633675478698,24.0
298,15.65087562980984,11.0
299,19.090339881329747,20.0
300,17.47806646449835,10.0
301,13.235664373349763,20.0
302,19.01861027661115,24.0
303,13.53832668011374,22.0
304,17.905038955977037,15.0
305,13.57391690174963,12.0
306,15.489567046052738,9.0
307,15.073887224187931,21.0
308,14.146456425038874,22.0
309,19.068914233021722,24.0
310,20.449130724834774,20.0
311,19.461415059445024,20.0
312,16.021536214762985,11.0
313,18.56127480056913,22.0
314,19.91553767991396,21.0
315,19.463105304761193,22.0
316,17.88619734641665,23.0
317,16.172208181429845,21.0
318,17.95074543488939,14.0
319,23.474938766007146,17.0
320,17.57980460360293,17.0
321,16.587114188881195,9.0
322,16.501157026763224,23.0
323,17.916493689125936,21.0
324,13.480618064994545,22.0
325,16.960484045770013,11.0
326,18.61841894874416,21.0
327,21.673538582953093,21.0
328,15.7888011317305,20.0
329,15.36693062894682,16.0
330,17.21124072725413,16.0
331,11.239002081054743,12.0
332,14.503619172386097,21.0
333,14.554327333554781,9.0
334,16.995738281630715,23.0
335,18.89490208516459,8.0
336,15.650454069098036,9.0
337,18.17687625614998,12.0
338,16.731132006495855,18.0
339,18.72894525501315,19.0
340,15.30302221120737,17.0
341,15.179323174595734,15.0
342,17.751037555500915,19.0
343,17.879663738597756,16.0
344,17.06625153323681,23.0
345,19.71317677377081,10.0
346,14.554541716709815,11.0
347,12.790545896344426,18.0
348,16.43087746046842,18.0
349,14.788356335068334,22.0
350,18.220210836945316,22.0
351,17.979002883958742,21.0
352,17.646828472843897,18.0
353,16.45953070588279,19.0
354,19.401871713196954,19.0
355,20.38993676602677,19.0
356,16.226398030937574,21.0
357,14.84623598298122,13.0
358,13.755151852497752,19.0
359,19.657558348042514,8.0
360,18.87643578933473,14.0
361,18.76131999261624,10.0
362,18.545469826561067,14.0
363,17.005722055182005,22.0
364,17.213374776823887,22.0
365,13.145999611567861,20.0
366,15.803504153588904,10.0
367,17.14449207057561,21.0
